Intensity_10660,FWHM_10660,Area_10660,Intensity_10100,FWHM_10100,Area_10100,Intensity_9768,FWHM_9768,Area_9768,Intensity_9813,FWHM_9813,Area_9813,Intensity_7931,FWHM_7931,Area_7931,Intensity_7974,FWHM_7974,Area_7974,Label
6545.365146902625,51.9534578494952,168248.58339892828,894.3934201122007,48.777648546288376,24749.6397779147,2221.2205546846694,72.65393394715092,82008.90079833537,2226.2117924704435,56.34337005980627,71261.68970105662,23.5244572094898,0.6333671994316435,16.385956700859815,84.56487998477118,0.7047607234762392,228.63324604522262,1
3040.0985700717238,27.460438862746265,76912.02007112291,25.081777839753293,9.544551918791857,252.99662458423637,1523.5104684231655,27.600245775425822,40279.57422398518,761.5633242302541,28.669742231986795,19404.505004047696,53.42811449693682,12.331440598880505,678.517705368329,72.64154918226072,13.820590712442124,1038.8383524342403,1
11069.35668975577,46.504505704511025,266377.84052472934,6562.535968356877,54.41682465206991,175607.6585773788,5996.995637305132,46.54257298164368,144694.7455104491,47871.06136038551,40.618676344792306,1556737.7135860876,1e-10,2.355,0.0,1e-10,2.355,0.0,1
49429.67116689334,42.07071014456368,1614760.8632975589,2100.173125488816,32.06292949494947,60709.53475496312,39517.86355719877,28.51105139901682,1059204.201243468,24998.908875285168,34.86108923408407,762445.241146825,2328.82768514903,13.546853689268938,32524.28511823366,2853.5565860789275,14.970599429689173,44208.35384448369,1
2089.097594470462,28.680229957967455,35849.540294540595,1052.047838976538,50.16304188175563,27055.54280095077,1800.7756776870626,14.314193116038084,16581.923784929426,18320.11844385573,25.237047105800027,463853.1354427053,1e-10,2.355,0.0,1e-10,2.355,0.0,1
5598.04363769651,27.660509685902984,147399.51560549522,8222.56639985521,25.773861989276416,208820.19302778423,224.5583722119897,9.15489138966304,2161.607071197521,430.18339558730696,15.511555259927475,7142.884890714484,968.9063573894098,14.682276950775568,15359.091917175117,2406.5842498243896,19.269621262409167,51017.939187654265,1
25109.281135246714,50.911451198355444,642639.3584897532,8511.489113746034,71.44041313054053,262801.3003802538,13178.133980343644,53.9602015564012,350511.8399195168,45920.8248550361,75.47854716857776,1712329.2241553264,1e-10,2.355,0.0,1e-10,2.355,0.0,1
1e-10,2.355,0.0,1e-10,2.355,0.0,1e-10,2.355,0.0,1e-10,2.355,0.0,328.0688656668916,18.088610511978903,3583.746869755607,4916.64866162364,18.855800136052583,98946.16666021013,1
3670.44506483266,27.148712570436686,59886.785650846956,1487.870081489954,51.935341393713685,38882.23576696873,1912.0929256853783,24.353143653567773,28802.64215569747,26198.949849117766,24.075016603775744,643481.8524291711,1e-10,2.355,0.0,1e-10,2.355,0.0,1
49999.24923777349,43.05020013521629,1550467.896380899,2905.292933890391,43.77776960950491,91620.62986955015,47185.107472170865,29.686901441279236,1202111.0107520937,41810.795259086524,46.23171794876777,1383001.4769282218,5777.342407190907,15.3789101007035,91815.93377786921,6421.8961350630125,15.989161039096963,106723.1432216826,1
510.2748476355774,42.82407977009274,15389.046676660764,842.7866007131449,40.70305853312055,26059.447496161614,654.1506892408994,61.09007998273776,23445.531979881533,587.2617481133469,52.53260439448364,18698.126777254816,113.75059974131396,36.807105710878524,2880.6029691795866,140.97278128159297,39.163724925857814,4359.805636477387,1
2167.2566164430987,52.29517947854074,56321.5402615862,694.6073126215714,65.4694302405149,24516.55122529366,483.16220740490445,122.21671659420305,17955.723048397642,543.2390253670051,92.70751045000395,20674.626615566063,328.0589804514607,645.2048454450589,13021.195653388082,361.65540460833677,202.76770401998425,13935.517655815802,1
1e-10,2.355,0.0,1e-10,2.355,0.0,1e-10,2.355,0.0,1e-10,2.355,0.0,859.7573807820239,24.222399978006827,11791.829068393832,13596.40568459881,17.982179745409262,264698.8990836368,1
25969.752975573323,31.813208538304316,743654.8232852028,24416.560906179966,29.01112728156085,673282.9802916779,1212.9955889649032,16.955846321122408,21485.874531598976,2039.1460097353452,22.325656509459556,46830.9121925416,1432.8001034481158,11.093598809095528,16851.549996874666,2213.0515884589045,12.533683019721847,29944.031518958283,1
